314.00	57.00 
313.00	57.00 
312.00	56.00 
311.00	56.00 
310.00	56.00 
309.00	55.00 
308.00	55.00 
307.00	55.00 
306.00	55.00 
305.00	55.00 
304.00	54.00 
303.00	54.00 
302.00	54.00 
301.00	54.00 
300.00	54.00 
299.00	54.00 
298.00	53.00 
297.00	53.00 
296.00	53.00 
295.00	53.00 
294.00	53.00 
293.00	53.00 
292.00	53.00 
291.00	53.00 
290.00	53.00 
289.00	53.00 
288.00	53.00 
287.00	53.00 
286.00	53.00 
285.00	53.00 
284.00	53.00 
283.00	53.00 
282.00	53.00 
281.00	53.00 
280.00	53.00 
279.00	53.00 
278.00	53.00 
277.00	53.00 
276.00	53.00 
275.00	53.00 
274.00	53.00 
273.00	53.00 
272.00	54.00 
271.00	54.00 
270.00	54.00 
269.00	54.00 
268.00	54.00 
267.00	54.00 
266.00	54.00 
265.00	55.00 
264.00	55.00 
263.00	55.00 
262.00	55.00 
261.00	56.00 
260.00	56.00 
259.00	56.00 
258.00	56.00 
257.00	57.00 
256.00	57.00 
255.00	57.00 
254.00	57.00 
253.00	58.00 
252.00	58.00 
251.00	58.00 
250.00	59.00 
249.00	59.00 
248.00	59.00 
247.00	60.00 
246.00	60.00 
245.00	61.00 
244.00	61.00 
243.00	61.00 
242.00	62.00 
241.00	62.00 
240.00	63.00 
239.00	63.00 
238.00	64.00 
237.00	64.00 
236.00	65.00 
235.00	65.00 
234.00	66.00 
233.00	66.00 
232.00	67.00 
231.00	67.00 
230.00	68.00 
229.00	68.00 
228.00	69.00 
227.00	69.00 
226.00	70.00 
225.00	71.00 
224.00	71.00 
223.00	72.00 
222.00	73.00 
221.00	73.00 
220.00	74.00 
219.00	74.00 
218.00	75.00 
217.00	76.00 
216.00	76.00 
215.00	77.00 
214.00	78.00 
213.00	78.00 
212.00	79.00 
211.00	79.00 
210.00	80.00 
209.00	80.00 
208.00	81.00 
207.00	81.00 
206.00	82.00 
206.00	83.00 
205.00	84.00 
204.00	85.00 
203.00	86.00 
202.00	87.00 
201.00	88.00 
200.00	89.00 
199.00	90.00 
198.00	91.00 
197.00	92.00 
196.00	93.00 
195.00	93.00 
194.00	94.00 
194.00	95.00 
194.00	96.00 
193.00	97.00 
192.00	98.00 
191.00	99.00 
190.00	100.00 
190.00	101.00 
189.00	102.00 
188.00	103.00 
188.00	104.00 
187.00	105.00 
187.00	106.00 
186.00	107.00 
185.00	108.00 
184.00	109.00 
184.00	110.00 
183.00	111.00 
183.00	112.00 
182.00	113.00 
181.00	114.00 
181.00	115.00 
180.00	116.00 
179.00	117.00 
178.00	118.00 
178.00	119.00 
178.00	120.00 
177.00	121.00 
177.00	122.00 
176.00	123.00 
176.00	124.00 
175.00	125.00 
175.00	126.00 
174.00	127.00 
174.00	128.00 
173.00	129.00 
173.00	130.00 
172.00	131.00 
172.00	132.00 
171.00	133.00 
171.00	134.00 
170.00	135.00 
170.00	136.00 
169.00	137.00 
169.00	138.00 
169.00	139.00 
168.00	140.00 
168.00	141.00 
168.00	142.00 
167.00	143.00 
167.00	144.00 
167.00	145.00 
166.00	146.00 
166.00	147.00 
165.00	148.00 
165.00	149.00 
165.00	150.00 
164.00	151.00 
164.00	152.00 
164.00	153.00 
164.00	154.00 
163.00	155.00 
163.00	156.00 
163.00	157.00 
162.00	158.00 
162.00	159.00 
162.00	160.00 
162.00	161.00 
161.00	162.00 
161.00	163.00 
161.00	164.00 
161.00	165.00 
161.00	166.00 
160.00	167.00 
160.00	168.00 
160.00	169.00 
160.00	170.00 
160.00	171.00 
159.00	172.00 
159.00	173.00 
159.00	174.00 
159.00	175.00 
159.00	176.00 
159.00	177.00 
158.00	178.00 
158.00	179.00 
158.00	180.00 
158.00	181.00 
158.00	182.00 
158.00	183.00 
158.00	184.00 
158.00	185.00 
